countyid,emp
26163,108411
26165,749
27001,128
27003,10442
27005,536
27007,869
27009,1160
27011,114
27013,3685
27015,1208
27017,265
27019,4740
27021,1626
27023,353
27025,1438
27027,3447
27029,165
27031,348
27033,184
27035,1660
27037,31491
27039,597
27041,874
27043,277
27045,413
27047,807
27049,3354
27051,214
27053,226844
27055,364
27057,214
27059,575
27061,1076
27063,426
27065,59
27067,1537
27069,109
27071,113
27073,197
27075,234
27077,319
27079,498
27081,93
27083,1729
27085,805
27087,977
27089,262
27091,1140
27093,536
27095,1796
27097,451
27099,1620
27101,247
27103,2361
27105,523
27107,200
27109,36111
27111,1033
27113,3977
27115,2163
27117,275
27119,752
27121,428
27123,79067
27125,64
27127,1408
27129,477
27131,7309
27133,364
27135,302
27137,9154
27139,9899
27141,1310
27143,668
27145,9666
27147,1589
27149,375
27151,297
27153,320
27155,147
27157,585
27159,261
27161,260
27163,9314
27165,177
27167,615
27169,4999
27171,2562
27173,649
28001,1485
28003,511
28005,34
28007,200
28009,15
28011,985
28013,175
28015,24
28017,113
28019,11
28021,23
28023,162
28025,405
28027,1038
28029,182
28031,188
28033,4644
28035,2605
28037,171
28039,99
28041,37
28043,240
28045,2759
28047,14859
28049,10549
28051,65
28053,123
28055,17
28057,118
28059,2206
28061,166
28063,17
28065,115
28067,3643
28069,25
28071,1232
28073,569
28075,3677
28077,52
28079,289
28081,3838
28083,795
28085,785
28087,2029
28089,7273
28091,438
28093,1160
28095,357
28097,87
28099,582
28101,102
28103,115
28105,792
28107,299
28109,437
28111,68
28113,485
28115,179
28117,249
28119,20
28121,4532
28123,152
28125,106
28127,132
28129,77
28131,42
28133,445
28135,666
28137,122
28139,360
28141,205
28143,5327
28145,224
28147,58
28149,2910
28151,2018
28153,179
28155,61
28157,219
28159,257
28161,54
28163,275
29001,996
29003,171
29005,147
29007,277
29009,2636
29011,210
29013,209
29015,87
29017,123
29019,9259
29021,3935
29023,433
29025,289
29027,1656
29029,1206
29031,2811
29033,108
29035,41
29037,1364
29039,115
29041,187
29043,1186
29045,174
29047,22933
29049,167
29051,5899
29053,624
29055,515
29057,417
29059,117
29061,61
29063,207
29065,130
29067,77
29069,457
29071,2138
29073,373
29075,133
29077,23961
29079,143
29081,185
29083,323
29085,37
29087,171
29089,529
29091,661
29093,104
29095,46127
29097,3886
29099,2276
29101,729
29103,71
29105,464
29107,471
29109,303
29111,884
29113,416
29115,264
29117,500
29119,154
29121,513
29123,351
29125,93
29127,1406
29129,28
29131,290
29133,287
29135,162
29137,106
29139,151
29141,167
29143,515
29145,1941
29147,252
29149,68
29151,102
29153,169
29155,550
29157,333
29159,890
29161,578
29163,433
29165,8327
29167,1543
29169,746
29171,42
29173,214
29175,741
29177,206
29179,18
29181,74
29183,17109
29185,49
29186,210
29187,1170
29189,137111
29195,1269
29197,12
29199,53
29201,1191
29203,45
29205,67
29207,569
29209,430
29211,43
29213,4212
29215,182
29217,648
29219,554
29221,348
29223,85
29225,299
29227,12
29229,372
29510,57183
30001,220
30003,271
30005,140
30007,65
30009,523
30011,1
30013,4054
30015,94
30017,488
30019,25
30021,356
30023,298
30025,52
30027,202
30029,3512
30031,5224
30033,14
30035,261
30037,7
30039,110
30041,609
30043,197
30045,38
30047,708
